Region,Product,Quantity,Unit Price,Revenue,Total
North,Product C,9,113,1017,1017
South,Product B,3,231,693,693
East,Product D,6,206,1236,1236
East,Product B,2,78,156,156
South,Product A,5,187,935,935
North,Product A,6,266,1596,1596
West,Product E,13,159,2067,2067
South,Product A,5,221,1105,1105
South,Product C,1,226,226,226
North,Product A,12,218,2616,2616
East,Product C,12,63,756,756
West,Product E,10,215,2150,2150
West,Product C,14,128,1792,1792
South,Product D,12,163,1956,1956
North,Product D,9,194,1746,1746
East,Product C,8,126,1008,1008
South,Product A,7,69,483,483
South,Product E,3,234,702,702
West,Product A,8,116,928,928
West,Product C,13,265,3445,3445
West,Product B,6,104,624,624
West,Product D,7,54,378,378
South,Product B,3,247,741,741
South,Product C,9,159,1431,1431
North,Product D,5,241,1205,1205
East,Product C,10,299,2990,2990
South,Product D,4,85,340,340
North,Product C,4,150,600,600
North,Product E,5,257,1285,1285
West,Product B,9,152,1368,1368
West,Product C,2,115,230,230
South,Product B,12,97,1164,1164
East,Product C,7,51,357,357
South,Product E,14,274,3836,3836
South,Product B,12,175,2100,2100
West,Product D,10,170,1700,1700
South,Product B,5,167,835,835
South,Product C,14,142,1988,1988
East,Product B,13,183,2379,2379
South,Product E,4,119,476,476
West,Product C,7,130,910,910
West,Product B,10,104,1040,1040
South,Product B,10,79,790,790
South,Product E,7,161,1127,1127
West,Product B,5,124,620,620
West,Product E,6,116,696,696
South,Product E,3,57,171,171
East,Product B,5,171,855,855
South,Product D,14,272,3808,3808
North,Product E,5,95,475,475
West,Product A,10,268,2680,2680
East,Product B,8,193,1544,1544
North,Product E,8,211,1688,1688
East,Product C,2,223,446,446
East,Product E,3,93,279,279
South,Product A,11,90,990,990
West,Product C,9,119,1071,1071
North,Product E,11,244,2684,2684
West,Product A,12,221,2652,2652
South,Product B,2,126,252,252
South,Product C,11,296,3256,3256
South,Product A,6,266,1596,1596
West,Product B,14,206,2884,2884
South,Product B,3,275,825,825
South,Product B,14,134,1876,1876
East,Product D,12,258,3096,3096
North,Product B,6,264,1584,1584
South,Product B,5,299,1495,1495
West,Product D,5,232,1160,1160
South,Product D,10,226,2260,2260
South,Product C,9,253,2277,2277
North,Product B,14,95,1330,1330
West,Product B,10,251,2510,2510
South,Product A,2,50,100,100
West,Product D,1,55,55,55
North,Product C,6,70,420,420
South,Product B,3,222,666,666
East,Product E,13,208,2704,2704
West,Product B,14,56,784,784
West,Product C,6,193,1158,1158
South,Product A,8,237,1896,1896
East,Product B,1,237,237,237
South,Product E,5,227,1135,1135
East,Product E,2,64,128,128
North,Product B,8,157,1256,1256
North,Product A,1,104,104,104
North,Product C,14,68,952,952
West,Product D,12,258,3096,3096
East,Product C,3,56,168,168
South,Product C,13,252,3276,3276
West,Product D,8,282,2256,2256
North,Product C,7,104,728,728
East,Product C,11,206,2266,2266
East,Product B,14,55,770,770
West,Product E,6,293,1758,1758
North,Product A,5,81,405,405
South,Product D,11,125,1375,1375
West,Product C,9,295,2655,2655
South,Product A,7,175,1225,1225
East,Product D,3,278,834,834
East,Product B,13,228,2964,2964
West,Product A,9,213,1917,1917
West,Product A,9,63,567,567
West,Product C,8,84,672,672
West,Product B,2,220,440,440
East,Product D,9,182,1638,1638
North,Product C,12,258,3096,3096
East,Product E,3,205,615,615
East,Product C,2,185,370,370
South,Product B,14,212,2968,2968
South,Product B,1,137,137,137
East,Product C,4,155,620,620
North,Product C,9,159,1431,1431
East,Product B,11,238,2618,2618
West,Product E,4,77,308,308
East,Product A,8,98,784,784
North,Product D,12,193,2316,2316
South,Product B,5,74,370,370
East,Product B,2,253,506,506
South,Product A,14,85,1190,1190
West,Product B,13,102,1326,1326
South,Product E,2,291,582,582
West,Product E,6,210,1260,1260
North,Product A,13,270,3510,3510
South,Product A,8,201,1608,1608
East,Product B,12,242,2904,2904
South,Product B,10,253,2530,2530
East,Product A,7,294,2058,2058
East,Product A,8,143,1144,1144
East,Product E,9,154,1386,1386
North,Product A,14,186,2604,2604
West,Product B,12,93,1116,1116
East,Product B,3,288,864,864
South,Product A,1,253,253,253
North,Product C,6,130,780,780
South,Product C,14,82,1148,1148
East,Product A,10,273,2730,2730
East,Product D,5,170,850,850
North,Product C,1,271,271,271
North,Product E,13,271,3523,3523
East,Product B,5,168,840,840
East,Product D,13,147,1911,1911
West,Product D,11,202,2222,2222
West,Product B,10,183,1830,1830
North,Product A,9,139,1251,1251
South,Product D,12,126,1512,1512
West,Product E,10,189,1890,1890
East,Product D,10,195,1950,1950
North,Product B,4,80,320,320
South,Product C,12,121,1452,1452
